date,username,time,task,computer,stimfile
03/10/2016,gru,10-Mar-2016 11:26:38,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim01.mat
03/10/2016,gru,10-Mar-2016 11:33:37,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim02.mat
03/10/2016,gru,10-Mar-2016 11:46:11,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim03.mat
03/10/2016,gru,10-Mar-2016 11:51:10,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim04.mat
03/10/2016,gru,10-Mar-2016 11:55:45,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim05.mat
03/10/2016,gru,10-Mar-2016 12:00:55,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim06.mat
03/10/2016,gru,10-Mar-2016 12:05:41,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s036/160310_stim07.mat
03/10/2016,gru,10-Mar-2016 12:10:59,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s036/160310_stim08.mat
03/10/2016,gru,10-Mar-2016 12:13:47,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s036/160310_stim09.mat
03/10/2016,gru,10-Mar-2016 12:21:20,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s036/160310_stim10.mat
03/10/2016,gru,10-Mar-2016 12:29:13,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s036/160310_stim11.mat
