date,username,time,task,computer,stimfile
10/16/2018,gru,16-Oct-2018 19:27:16,gruRetinotopy.m,oban.stanford.edu,~/data/gruRetinotopy/s374/181016_stim01.mat
10/16/2018,gru,16-Oct-2018 19:33:26,gruRetinotopy.m,oban.stanford.edu,~/data/gruRetinotopy/s374/181016_stim02.mat
10/16/2018,gru,16-Oct-2018 19:38:27,gruRetinotopy.m,oban.stanford.edu,~/data/gruRetinotopy/s374/181016_stim03.mat
10/16/2018,gru,16-Oct-2018 19:43:32,gruRetinotopy.m,oban.stanford.edu,~/data/gruRetinotopy/s374/181016_stim04.mat
10/16/2018,gru,16-Oct-2018 19:52:16,texLocCtrl.m,oban.stanford.edu,~/data/texLocCtrl/s374/181016_stim05.mat
10/16/2018,gru,16-Oct-2018 19:59:26,textureLoc.m,oban.stanford.edu,~/data/textureLoc/s374/181016_stim06.mat
10/16/2018,gru,16-Oct-2018 20:06:53,textureLoc.m,oban.stanford.edu,~/data/textureLoc/s374/181016_stim07.mat
10/16/2018,gru,16-Oct-2018 20:13:51,textureLoc.m,oban.stanford.edu,~/data/textureLoc/s374/181016_stim08.mat
10/16/2018,gru,16-Oct-2018 20:21:29,textureLoc.m,oban.stanford.edu,~/data/textureLoc/s374/181016_stim09.mat
10/16/2018,gru,16-Oct-2018 20:29:46,textureLoc.m,oban.stanford.edu,~/data/textureLoc/s374/181016_stim10.mat
10/16/2018,gru,16-Oct-2018 20:36:48,textureLoc.m,oban.stanford.edu,~/data/textureLoc/s374/181016_stim11.mat
