date,username,time,task,computer,stimfile
06/14/2016,gru,14-Jun-2016 19:28:48,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim01.mat
06/14/2016,gru,14-Jun-2016 19:36:26,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim02.mat
06/14/2016,gru,14-Jun-2016 19:44:11,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim03.mat
06/14/2016,gru,14-Jun-2016 19:52:24,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim04.mat
06/14/2016,gru,14-Jun-2016 20:00:48,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim05.mat
06/14/2016,gru,14-Jun-2016 20:08:57,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim06.mat
06/14/2016,gru,14-Jun-2016 20:17:48,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim07.mat
06/14/2016,gru,14-Jun-2016 20:26:56,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160614_stim08.mat
06/15/2016,gru,15-Jun-2016 19:28:26,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim01.mat
06/15/2016,gru,15-Jun-2016 19:36:08,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim02.mat
06/15/2016,gru,15-Jun-2016 19:44:03,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim03.mat
06/15/2016,gru,15-Jun-2016 19:51:45,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim04.mat
06/15/2016,gru,15-Jun-2016 19:59:32,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim05.mat
06/15/2016,gru,15-Jun-2016 20:07:59,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim06.mat
06/15/2016,gru,15-Jun-2016 20:16:27,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim07.mat
06/15/2016,gru,15-Jun-2016 20:24:17,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160615_stim08.mat
06/17/2016,gru,17-Jun-2016 16:54:55,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160617_stim01.mat
06/17/2016,gru,17-Jun-2016 17:02:46,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160617_stim02.mat
06/17/2016,gru,17-Jun-2016 17:10:55,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160617_stim03.mat
06/17/2016,gru,17-Jun-2016 17:19:27,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160617_stim04.mat
06/17/2016,gru,17-Jun-2016 17:26:49,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160617_stim05.mat
06/17/2016,gru,17-Jun-2016 17:34:53,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s305/160617_stim06.mat
08/16/2016,gru,16-Aug-2016 20:16:59,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim01.mat
08/16/2016,gru,16-Aug-2016 20:27:32,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim01.mat
08/16/2016,gru,16-Aug-2016 20:35:29,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim02.mat
08/16/2016,gru,16-Aug-2016 20:43:20,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim03.mat
08/16/2016,gru,16-Aug-2016 20:51:20,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim04.mat
08/16/2016,gru,16-Aug-2016 20:59:29,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim05.mat
08/16/2016,gru,16-Aug-2016 21:07:24,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim06.mat
08/16/2016,gru,16-Aug-2016 21:15:25,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim07.mat
08/16/2016,gru,16-Aug-2016 21:23:17,cohcon.m,oban.stanford.edu,~/data/cohcon/s305/160816_stim08.mat
