date,username,time,task,computer,stimfile
02/16/2016,gru,16-Feb-2016 20:13:25,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim01.mat
02/16/2016,gru,16-Feb-2016 20:23:10,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim02.mat
02/16/2016,gru,16-Feb-2016 20:31:02,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim03.mat
02/16/2016,gru,16-Feb-2016 20:38:49,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim04.mat
02/16/2016,gru,16-Feb-2016 20:46:42,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim05.mat
02/16/2016,gru,16-Feb-2016 20:54:38,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim06.mat
02/16/2016,gru,16-Feb-2016 21:02:27,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160216_stim07.mat
03/09/2016,gru,09-Mar-2016 21:41:52,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim01.mat
03/09/2016,gru,09-Mar-2016 21:47:30,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim02.mat
03/09/2016,gru,09-Mar-2016 21:49:26,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim03.mat
03/09/2016,gru,09-Mar-2016 22:04:59,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim04.mat
03/09/2016,gru,09-Mar-2016 22:13:00,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim05.mat
03/09/2016,gru,09-Mar-2016 22:20:45,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim06.mat
03/09/2016,gru,09-Mar-2016 22:28:42,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim07.mat
03/09/2016,gru,09-Mar-2016 22:36:33,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim08.mat
03/09/2016,gru,09-Mar-2016 22:44:18,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim09.mat
03/09/2016,gru,09-Mar-2016 22:55:03,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160309_stim10.mat
03/09/2016,gru,09-Mar-2016 22:56:19,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s300/160309_stim11.mat
03/09/2016,gru,09-Mar-2016 22:57:44,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s300/160309_stim12.mat
03/09/2016,gru,09-Mar-2016 22:58:08,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s300/160309_stim13.mat
03/09/2016,gru,09-Mar-2016 22:58:51,cogneuro_attention.m,oban.stanford.edu,~/data/cogneuro_attention/s300/160309_stim14.mat
04/04/2016,gru,04-Apr-2016 19:47:11,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim10.mat
04/04/2016,gru,04-Apr-2016 19:55:48,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim11.mat
04/04/2016,gru,04-Apr-2016 20:04:24,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim12.mat
04/04/2016,gru,04-Apr-2016 20:13:53,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim13.mat
04/04/2016,gru,04-Apr-2016 20:22:22,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim14.mat
04/04/2016,gru,04-Apr-2016 20:30:55,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim15.mat
04/04/2016,gru,04-Apr-2016 20:39:36,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim16.mat
04/04/2016,gru,04-Apr-2016 20:48:12,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160404_stim17.mat
04/11/2016,gru,11-Apr-2016 21:25:44,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim01.mat
04/11/2016,gru,11-Apr-2016 21:27:29,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim02.mat
04/11/2016,gru,11-Apr-2016 21:35:22,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim03.mat
04/11/2016,gru,11-Apr-2016 21:43:14,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim04.mat
04/11/2016,gru,11-Apr-2016 21:51:05,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim05.mat
04/11/2016,gru,11-Apr-2016 21:58:51,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim06.mat
04/11/2016,gru,11-Apr-2016 22:06:36,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim07.mat
04/11/2016,gru,11-Apr-2016 22:14:28,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim08.mat
04/11/2016,gru,11-Apr-2016 22:23:11,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim09.mat
04/11/2016,gru,11-Apr-2016 22:26:41,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160411_stim10.mat
05/09/2016,gru,09-May-2016 18:43:11,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim01.mat
05/09/2016,gru,09-May-2016 18:51:56,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim02.mat
05/09/2016,gru,09-May-2016 19:00:45,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim03.mat
05/09/2016,gru,09-May-2016 19:09:21,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim04.mat
05/09/2016,gru,09-May-2016 19:18:06,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim05.mat
05/09/2016,gru,09-May-2016 19:26:31,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim06.mat
05/09/2016,gru,09-May-2016 19:34:43,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim07.mat
05/09/2016,gru,09-May-2016 19:43:01,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim08.mat
05/09/2016,gru,09-May-2016 19:51:15,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim09.mat
05/09/2016,gru,09-May-2016 19:59:12,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160509_stim10.mat
05/28/2016,gru,28-May-2016 19:20:33,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim02.mat
05/28/2016,gru,28-May-2016 19:36:26,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim03.mat
05/28/2016,gru,28-May-2016 19:46:29,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim04.mat
05/28/2016,gru,28-May-2016 19:54:23,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim05.mat
05/28/2016,gru,28-May-2016 20:02:17,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim06.mat
05/28/2016,gru,28-May-2016 20:10:11,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim07.mat
05/28/2016,gru,28-May-2016 20:22:21,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160528_stim08.mat
05/29/2016,gru,29-May-2016 21:45:03,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160529_stim01.mat
05/29/2016,gru,29-May-2016 21:54:22,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160529_stim02.mat
05/29/2016,gru,29-May-2016 22:05:11,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160529_stim03.mat
05/29/2016,gru,29-May-2016 22:13:23,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160529_stim04.mat
05/29/2016,gru,29-May-2016 22:21:35,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160529_stim05.mat
05/29/2016,gru,29-May-2016 22:29:24,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s300/160529_stim06.mat
07/20/2016,gru,20-Jul-2016 21:08:37,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim02.mat
07/20/2016,gru,20-Jul-2016 21:17:05,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim03.mat
07/20/2016,gru,20-Jul-2016 21:26:51,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim04.mat
07/20/2016,gru,20-Jul-2016 21:34:29,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim05.mat
07/20/2016,gru,20-Jul-2016 21:42:50,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim06.mat
07/20/2016,gru,20-Jul-2016 21:50:26,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim07.mat
07/20/2016,gru,20-Jul-2016 21:58:52,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim08.mat
07/20/2016,gru,20-Jul-2016 22:06:40,cohcon.m,oban.stanford.edu,~/data/cohcon/s300/160720_stim09.mat
