date,username,time,task,computer,stimfile
05/21/2018,gru,21-May-2018 18:03:22,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0002.mat
05/21/2018,gru,21-May-2018 18:06:37,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0003.mat
05/21/2018,gru,21-May-2018 18:10:23,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0004.mat
05/21/2018,gru,21-May-2018 18:13:17,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0005.mat
05/21/2018,gru,21-May-2018 18:18:00,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0006.mat
05/21/2018,gru,21-May-2018 18:20:15,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0007.mat
05/21/2018,gru,21-May-2018 18:21:41,cogneuro_workingmemory_chichi.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/180521_stim01_aborted0008.mat
05/21/2018,gru,21-May-2018 18:23:02,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s371/180521_stim01.mat
05/21/2018,gru,21-May-2018 18:43:06,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s371/180521_stim02.mat
05/21/2018,gru,21-May-2018 18:48:15,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s371/180521_stim03.mat
05/21/2018,gru,21-May-2018 18:54:27,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s371/180521_stim04.mat
05/21/2018,gru,21-May-2018 18:59:36,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s371/180521_stim05.mat
05/21/2018,gru,21-May-2018 19:02:24,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim06.mat
05/21/2018,gru,21-May-2018 19:03:25,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim07.mat
05/21/2018,gru,21-May-2018 19:04:29,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim08.mat
05/21/2018,gru,21-May-2018 19:14:10,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim09.mat
05/21/2018,gru,21-May-2018 19:21:59,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim10.mat
05/21/2018,gru,21-May-2018 19:29:47,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim11.mat
05/21/2018,gru,21-May-2018 19:36:18,cogneuro_workingmemory_chichi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_chichi/s371/180521_stim12.mat
