date,username,time,task,computer,stimfile
10/06/2015,gru,06-Oct-2015 20:04:45,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim08.mat
10/06/2015,gru,06-Oct-2015 20:09:52,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim09.mat
10/06/2015,gru,06-Oct-2015 20:14:52,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim10.mat
10/06/2015,gru,06-Oct-2015 20:19:33,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim11.mat
10/06/2015,gru,06-Oct-2015 20:24:18,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim12.mat
10/06/2015,gru,06-Oct-2015 20:28:54,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim13.mat
10/06/2015,gru,06-Oct-2015 20:33:32,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s317/151006_stim14.mat
