date,username,time,task,computer,stimfile
05/31/2018,gru,31-May-2018 17:46:53,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s075/180531_stim01.mat
05/31/2018,gru,31-May-2018 17:54:48,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s075/180531_stim02.mat
05/31/2018,gru,31-May-2018 17:59:41,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s075/180531_stim03.mat
05/31/2018,gru,31-May-2018 18:04:37,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s075/180531_stim04.mat
05/31/2018,gru,31-May-2018 18:09:32,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s075/180531_stim05.mat
05/31/2018,gru,31-May-2018 18:16:59,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim06.mat
05/31/2018,gru,31-May-2018 18:24:13,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim07.mat
05/31/2018,gru,31-May-2018 18:31:26,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim08.mat
05/31/2018,gru,31-May-2018 18:38:34,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim09.mat
05/31/2018,gru,31-May-2018 18:45:35,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim10.mat
05/31/2018,gru,31-May-2018 18:52:46,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim11.mat
05/31/2018,gru,31-May-2018 19:00:02,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180531_stim12.mat
07/04/2018,gru,04-Jul-2018 17:22:36,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim03.mat
07/04/2018,gru,04-Jul-2018 17:30:11,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim04.mat
07/04/2018,gru,04-Jul-2018 17:42:38,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim05.mat
07/04/2018,gru,04-Jul-2018 17:45:59,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim06.mat
07/04/2018,gru,04-Jul-2018 18:14:32,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim01.mat
07/04/2018,gru,04-Jul-2018 18:23:18,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim02.mat
07/04/2018,gru,04-Jul-2018 18:30:49,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim07.mat
07/04/2018,gru,04-Jul-2018 18:39:29,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180704_stim08.mat
07/30/2018,gru,30-Jul-2018 19:52:29,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180730_stim01.mat
07/30/2018,gru,30-Jul-2018 20:04:01,saccadeRF.m,oban.stanford.edu,~/data/saccadeRF/s075/180730_stim02.mat
