date,username,time,task,computer,stimfile
10/06/2015,gru,06-Oct-2015 19:16:20,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/151006_stim03.mat
10/06/2015,gru,06-Oct-2015 19:21:12,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/151006_stim04.mat
10/06/2015,gru,06-Oct-2015 19:25:54,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/151006_stim05.mat
10/06/2015,gru,06-Oct-2015 19:30:43,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/151006_stim06.mat
10/06/2015,gru,06-Oct-2015 19:35:22,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/151006_stim07.mat
02/04/2016,gru,04-Feb-2016 19:15:34,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim01.mat
02/04/2016,gru,04-Feb-2016 19:17:21,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim02.mat
02/04/2016,gru,04-Feb-2016 19:22:01,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim03.mat
02/04/2016,gru,04-Feb-2016 19:27:42,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim04.mat
02/04/2016,gru,04-Feb-2016 19:32:31,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim05.mat
02/04/2016,gru,04-Feb-2016 19:37:18,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim06.mat
02/04/2016,gru,04-Feb-2016 19:42:11,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim07.mat
02/04/2016,gru,04-Feb-2016 19:47:00,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim08.mat
02/04/2016,gru,04-Feb-2016 19:51:38,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim09.mat
02/04/2016,gru,04-Feb-2016 19:56:22,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim10.mat
02/04/2016,gru,04-Feb-2016 20:07:13,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim11.mat
02/04/2016,gru,04-Feb-2016 20:12:10,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim12.mat
02/04/2016,gru,04-Feb-2016 20:17:07,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim13.mat
02/04/2016,gru,04-Feb-2016 20:22:08,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim14.mat
02/04/2016,gru,04-Feb-2016 20:27:58,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim15.mat
02/04/2016,gru,04-Feb-2016 20:32:46,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s316/160204_stim16.mat
04/22/2016,gru,22-Apr-2016 14:22:19,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim01.mat
04/22/2016,gru,22-Apr-2016 14:29:47,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim02.mat
04/22/2016,gru,22-Apr-2016 14:37:31,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim03.mat
04/22/2016,gru,22-Apr-2016 14:45:01,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim04.mat
04/22/2016,gru,22-Apr-2016 14:54:02,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim05.mat
04/22/2016,gru,22-Apr-2016 15:01:32,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim06.mat
04/22/2016,gru,22-Apr-2016 15:09:11,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim07.mat
04/22/2016,gru,22-Apr-2016 15:16:38,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim08.mat
04/22/2016,gru,22-Apr-2016 15:24:20,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim09.mat
04/22/2016,gru,22-Apr-2016 15:28:16,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s316/160422_stim10.mat
07/20/2016,gru,20-Jul-2016 16:34:25,attentionCompLoc.m,oban.stanford.edu,~/data/attentionCompLoc/s316/160720_stim03.mat
07/20/2016,gru,20-Jul-2016 16:41:39,attentionCompLoc.m,oban.stanford.edu,~/data/attentionCompLoc/s316/160720_stim04.mat
07/20/2016,gru,20-Jul-2016 16:51:01,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim05.mat
07/20/2016,gru,20-Jul-2016 16:59:02,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim06.mat
07/20/2016,gru,20-Jul-2016 17:06:39,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim07.mat
07/20/2016,gru,20-Jul-2016 17:14:15,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim08.mat
07/20/2016,gru,20-Jul-2016 17:22:26,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim09.mat
07/20/2016,gru,20-Jul-2016 17:30:13,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim10.mat
07/20/2016,gru,20-Jul-2016 17:37:57,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim11.mat
07/20/2016,gru,20-Jul-2016 17:45:42,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160720_stim12.mat
07/20/2016,gru,20-Jul-2016 17:51:07,attentionCompLoc.m,oban.stanford.edu,~/data/attentionCompLoc/s316/160720_stim13.mat
07/20/2016,gru,20-Jul-2016 17:56:08,attentionCompLoc.m,oban.stanford.edu,~/data/attentionCompLoc/s316/160720_stim14.mat
08/05/2016,gru,05-Aug-2016 20:59:30,attentionCompLoc.m,oban.stanford.edu,~/data/attentionCompLoc/s316/160805_stim01.mat
08/05/2016,gru,05-Aug-2016 21:08:09,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim02.mat
08/05/2016,gru,05-Aug-2016 21:16:26,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim03.mat
08/05/2016,gru,05-Aug-2016 21:24:43,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim04.mat
08/05/2016,gru,05-Aug-2016 21:32:49,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim05.mat
08/05/2016,gru,05-Aug-2016 21:41:23,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim06.mat
08/05/2016,gru,05-Aug-2016 21:49:39,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim07.mat
08/05/2016,gru,05-Aug-2016 21:57:51,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim08.mat
08/05/2016,gru,05-Aug-2016 22:06:01,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim09.mat
08/05/2016,gru,05-Aug-2016 22:14:48,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160805_stim10.mat
08/05/2016,gru,05-Aug-2016 22:20:06,attentionCompLoc.m,oban.stanford.edu,~/data/attentionCompLoc/s316/160805_stim11.mat
08/08/2016,gru,08-Aug-2016 15:03:42,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160808_stim01.mat
08/08/2016,gru,08-Aug-2016 15:11:51,attentionComp.m,oban.stanford.edu,~/data/attentionComp/s316/160808_stim02.mat
