date,username,time,task,computer,stimfile
05/21/2018,gru,21-May-2018 16:34:42,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s370/180521_stim01.mat
05/21/2018,gru,21-May-2018 17:10:48,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s370/180521_stim02.mat
05/21/2018,gru,21-May-2018 17:16:52,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s370/180521_stim03.mat
05/21/2018,gru,21-May-2018 17:22:36,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s370/180521_stim04.mat
05/21/2018,gru,21-May-2018 17:27:53,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s370/180521_stim05.mat
05/21/2018,gru,21-May-2018 17:29:58,cogneuro_workingmemory_sean.m,oban.stanford.edu,~/data/cogneuro_workingmemory_sean/s370/180521_stim06.mat
05/21/2018,gru,21-May-2018 17:37:50,cogneuro_workingmemory_sean.m,oban.stanford.edu,~/data/cogneuro_workingmemory_sean/s370/180521_stim07.mat
05/21/2018,gru,21-May-2018 17:44:36,cogneuro_workingmemory_sean.m,oban.stanford.edu,~/data/cogneuro_workingmemory_sean/s370/180521_stim08.mat
05/21/2018,gru,21-May-2018 17:52:07,cogneuro_workingmemory_sean.m,oban.stanford.edu,~/data/cogneuro_workingmemory_sean/s370/180521_stim09.mat
05/21/2018,gru,21-May-2018 18:01:02,cogneuro_workingmemory_sean.m,oban.stanford.edu,~/data/cogneuro_workingmemory_sean/s370/180521_stim10.mat
