date,username,time,task,computer,stimfile
11/23/2016,gru,23-Nov-2016 20:43:16,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim02.mat
11/23/2016,gru,23-Nov-2016 20:51:06,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim03.mat
11/23/2016,gru,23-Nov-2016 20:58:47,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim04.mat
11/23/2016,gru,23-Nov-2016 21:06:41,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim05.mat
11/23/2016,gru,23-Nov-2016 21:14:30,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim06.mat
11/23/2016,gru,23-Nov-2016 21:22:16,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim07.mat
11/23/2016,gru,23-Nov-2016 21:30:16,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim08.mat
11/23/2016,gru,23-Nov-2016 21:38:09,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim09.mat
11/23/2016,gru,23-Nov-2016 21:42:25,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161123_stim10.mat
11/29/2016,gru,29-Nov-2016 18:33:42,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim03.mat
11/29/2016,gru,29-Nov-2016 18:41:18,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim04.mat
11/29/2016,gru,29-Nov-2016 18:49:18,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim05.mat
11/29/2016,gru,29-Nov-2016 18:56:59,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim06.mat
11/29/2016,gru,29-Nov-2016 19:04:31,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim07.mat
11/29/2016,gru,29-Nov-2016 19:12:11,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim08.mat
11/29/2016,gru,29-Nov-2016 19:20:08,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim09.mat
11/29/2016,gru,29-Nov-2016 19:27:44,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim10.mat
11/29/2016,gru,29-Nov-2016 19:32:05,SLtaskDotDirfMRI05.m,oban.stanford.edu,~/data/SLtaskDotDirfMRI05/s358/161129_stim11.mat
11/29/2016,gru,29-Nov-2016 19:40:48,dotslocSL.m,oban.stanford.edu,/Users/gru/proj/gru/dotslocSL/sub01/161129_stim12.mat
11/29/2016,gru,29-Nov-2016 19:55:20,dotslocSL.m,oban.stanford.edu,/Users/gru/proj/gru/dotslocSL/sub01/161129_stim13.mat
12/12/2016,gru,12-Dec-2016 20:33:30,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim04.mat
12/12/2016,gru,12-Dec-2016 20:39:07,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim05.mat
12/12/2016,gru,12-Dec-2016 20:43:51,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim06.mat
12/12/2016,gru,12-Dec-2016 20:48:42,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim07.mat
12/12/2016,gru,12-Dec-2016 20:53:36,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim08.mat
12/12/2016,gru,12-Dec-2016 20:58:26,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim09.mat
12/12/2016,gru,12-Dec-2016 21:03:29,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s358/161212_stim10.mat
12/12/2016,gru,12-Dec-2016 21:09:28,dotslocSL.m,oban.stanford.edu,/Users/gru/proj/gru/dotslocSL/sub01/161212_stim11.mat
12/12/2016,gru,12-Dec-2016 21:14:53,dotslocSL.m,oban.stanford.edu,/Users/gru/proj/gru/dotslocSL/sub01/161212_stim12.mat
