date,username,time,task,computer,stimfile
05/22/2017,gru,22-May-2017 17:28:49,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s364/170522_stim01.mat
05/22/2017,gru,22-May-2017 17:33:40,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s364/170522_stim02.mat
05/22/2017,gru,22-May-2017 17:38:30,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s364/170522_stim03.mat
05/22/2017,gru,22-May-2017 17:43:54,mglRetinotopy.m,oban.stanford.edu,~/data/mglRetinotopy/s364/170522_stim04.mat
05/22/2017,gru,22-May-2017 17:45:59,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim05.mat
05/22/2017,gru,22-May-2017 17:47:46,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim06.mat
05/22/2017,gru,22-May-2017 17:56:00,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim07.mat
05/22/2017,gru,22-May-2017 18:04:08,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim08.mat
05/22/2017,gru,22-May-2017 18:11:48,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim09.mat
05/22/2017,gru,22-May-2017 18:19:37,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim10.mat
05/22/2017,gru,22-May-2017 18:27:34,cogneuro_workingmemory_manasi.m,oban.stanford.edu,~/data/cogneuro_workingmemory_manasi/s364/170522_stim11.mat
