date,username,time,task,computer,stimfile
07/25/2016,gru,25-Jul-2016 19:27:12,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim01.mat
07/25/2016,gru,25-Jul-2016 19:35:27,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim02.mat
07/25/2016,gru,25-Jul-2016 19:44:36,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim03.mat
07/25/2016,gru,25-Jul-2016 19:52:29,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim04.mat
07/25/2016,gru,25-Jul-2016 20:00:16,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim05.mat
07/25/2016,gru,25-Jul-2016 20:08:47,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim06.mat
07/25/2016,gru,25-Jul-2016 20:16:45,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim07.mat
07/25/2016,gru,25-Jul-2016 20:24:25,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160725_stim08.mat
07/29/2016,gru,29-Jul-2016 21:34:09,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim01.mat
07/29/2016,gru,29-Jul-2016 21:41:46,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim02.mat
07/29/2016,gru,29-Jul-2016 21:49:24,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim03.mat
07/29/2016,gru,29-Jul-2016 21:57:28,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim04.mat
07/29/2016,gru,29-Jul-2016 22:05:54,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim05.mat
07/29/2016,gru,29-Jul-2016 22:13:41,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim06.mat
07/29/2016,gru,29-Jul-2016 22:21:28,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim07.mat
07/29/2016,gru,29-Jul-2016 22:29:48,cohcon_localizer.m,oban.stanford.edu,~/data/cohcon_localizer/s343/160729_stim08.mat
08/02/2016,gru,02-Aug-2016 20:50:01,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim01.mat
08/02/2016,gru,02-Aug-2016 20:52:16,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim02.mat
08/02/2016,gru,02-Aug-2016 21:00:27,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim03.mat
08/02/2016,gru,02-Aug-2016 21:08:21,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim04.mat
08/02/2016,gru,02-Aug-2016 21:16:21,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim05.mat
08/02/2016,gru,02-Aug-2016 21:24:10,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim06.mat
08/02/2016,gru,02-Aug-2016 21:32:02,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim07.mat
08/02/2016,gru,02-Aug-2016 21:40:02,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim08.mat
08/02/2016,gru,02-Aug-2016 21:48:23,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim09.mat
08/02/2016,gru,02-Aug-2016 21:56:18,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160802_stim10.mat
08/17/2016,gru,17-Aug-2016 20:40:44,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim01.mat
08/17/2016,gru,17-Aug-2016 20:49:27,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim02.mat
08/17/2016,gru,17-Aug-2016 20:57:51,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim03.mat
08/17/2016,gru,17-Aug-2016 21:05:50,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim04.mat
08/17/2016,gru,17-Aug-2016 21:13:51,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim05.mat
08/17/2016,gru,17-Aug-2016 21:22:07,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim06.mat
08/17/2016,gru,17-Aug-2016 21:30:11,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim07.mat
08/17/2016,gru,17-Aug-2016 21:38:47,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim08.mat
08/17/2016,gru,17-Aug-2016 21:46:34,cohcon.m,oban.stanford.edu,~/data/cohcon/s343/160817_stim09.mat
